keyword,exceptionType,exception1,exception2,exception3,fromAssets
tablet,Article,il,dal,al,Y
sole,Article,il,dal,al,Y
guanti,Article,i,dai,ai,Y
pantaloni,Article,i,dai,ai,Y
mutande,Article,le,dalle,alle,Y
calze,Article,le,dalle,alle,Y
andare,Is a verb of movement to place,,,,Y
correre,Is a verb of movement to place,,,,Y
saltare,Is a verb of movement from place,,,,Y
pane,Article,il,dal,al,Y
grissini,Article,i,dai,ai,Y
spaghetti,Article,gli,dagli,agli,Y
cioccolato,Article,il,dal,al,Y
denti,Article,i,dai,ai,Y
mani,Article,le,dalle,alle,Y
macchine,Article,le,dalle,alle,Y
cavalli,Article,i,dai,dai,Y
essere,Is an auxiliary verb,,,,Y
avere,Is an auxiliary verb,,,,Y
potere,Is a servile verb,,,,Y
volere,Is a servile verb,,,,Y
dovere,Is a servile verb,,,,Y
non,Is a negation adverb,negazione,,,Y
senza,Is a negation adverb,negazione,,,Y
ciao,They are greetings,,,,Y
evviva,They are greetings,,,,Y
ancora,Article,   ,  ,   ,Y
mamma,Article,   ,  ,   ,Y
papà,Article,   ,  ,   ,Y
nè,Is a negation adverb,negazione,,,Y
